,country,framework,users,type
159,India,Blazor,179,want to use
160,Italy,Next.js,177,want to use
161,Romania,React.js,177,want to use
162,Austria,Vue.js,175,want to use
163,Switzerland,Vue.js,174,want to use
164,Poland,Express,174,want to use
165,Pakistan,Express,172,want to use
166,Germany,Laravel,172,want to use
167,Bangladesh,Express,172,want to use
168,Netherlands,Angular,171,want to use
169,Pakistan,Vue.js,170,want to use
170,Germany,ASP.NET,170,want to use
171,France,Flask,169,want to use
172,Czech Republic,React.js,169,want to use
173,India,Fastify,168,want to use
174,Finland,React.js,167,want to use
175,Sweden,ASP.NET Core,167,want to use
176,Pakistan,Django,166,want to use
177,Brazil,Flask,166,want to use
178,United Kingdom of Great Britain and Northern Ireland,Ruby on Rails,165,want to use
179,Belgium,Node.js,165,want to use
180,Belgium,React.js,165,want to use
181,Sweden,Vue.js,164,want to use
182,United States of America,Drupal,164,want to use
183,Canada,Flask,163,want to use
184,Greece,React.js,163,want to use
185,Netherlands,Next.js,163,want to use
186,France,Nuxt.js,162,want to use
187,Brazil,FastAPI,162,want to use
188,"Iran, Islamic Republic of...",Vue.js,161,want to use
189,China,React.js,161,want to use
190,United Kingdom of Great Britain and Northern Ireland,Nuxt.js,161,want to use
191,Czech Republic,Node.js,161,want to use
192,United States of America,Symfony,161,want to use
193,Spain,Django,160,want to use
194,Canada,jQuery,160,want to use
195,France,jQuery,159,want to use
196,Germany,Symfony,158,want to use
197,Bangladesh,Django,158,want to use
198,China,Node.js,158,want to use
199,United Kingdom of Great Britain and Northern Ireland,Laravel,157,want to use
200,Canada,Deno,156,want to use
201,France,ASP.NET Core,156,want to use
202,Romania,Node.js,155,want to use
203,Ukraine,React.js,154,want to use
204,Greece,Node.js,154,want to use
205,France,Symfony,153,want to use
206,Germany,Ruby on Rails,153,want to use
207,Russian Federation,ASP.NET Core,153,want to use
208,Sri Lanka,Node.js,152,want to use
209,Netherlands,Express,150,want to use
210,Canada,FastAPI,149,want to use
211,Portugal,Node.js,149,want to use
212,Philippines,React.js,149,want to use
213,Poland,Django,148,want to use
214,Portugal,React.js,148,want to use
215,Turkey,Express,147,want to use
216,Finland,Node.js,147,want to use
217,Nigeria,Express,145,want to use
218,Poland,Svelte,145,want to use
219,Sri Lanka,React.js,144,want to use
220,Switzerland,Angular,144,want to use
221,"Iran, Islamic Republic of...",ASP.NET Core,144,want to use
222,Indonesia,Next.js,144,want to use
223,Egypt,Node.js,143,want to use
224,Australia,Svelte,142,want to use
225,Indonesia,Vue.js,142,want to use
226,Nigeria,Next.js,141,want to use
227,Colombia,React.js,141,want to use
228,Pakistan,Angular,141,want to use
229,Philippines,Node.js,140,want to use
230,Brazil,jQuery,138,want to use
231,Turkey,jQuery,138,want to use
232,Egypt,React.js,138,want to use
233,Canada,Blazor,138,want to use
234,France,FastAPI,137,want to use
235,Italy,Django,137,want to use
236,Italy,Svelte,135,want to use
237,Ukraine,Node.js,135,want to use
238,South Africa,Node.js,135,want to use
239,Brazil,Phoenix,134,want to use
240,Netherlands,Svelte,134,want to use
241,Brazil,Ruby on Rails,133,want to use
242,Switzerland,ASP.NET Core,132,want to use
243,Sweden,Svelte,132,want to use
244,South Africa,React.js,132,want to use
245,New Zealand,React.js,132,want to use
246,Russian Federation,Django,132,want to use
247,Hungary,Node.js,131,want to use
248,France,Deno,131,want to use
249,Australia,Express,131,want to use
250,Colombia,Node.js,131,want to use
251,Norway,React.js,130,want to use
252,"Iran, Islamic Republic of...",Django,130,want to use
253,Austria,Angular,129,want to use
254,Spain,jQuery,129,want to use
255,Mexico,Vue.js,128,want to use
256,Bulgaria,React.js,127,want to use
257,Canada,Ruby on Rails,127,want to use
258,Spain,Svelte,126,want to use
259,"Iran, Islamic Republic of...",Express,126,want to use
260,Nigeria,Vue.js,126,want to use
261,Netherlands,jQuery,125,want to use
262,Bangladesh,Laravel,125,want to use
263,Denmark,React.js,123,want to use
264,Brazil,Laravel,123,want to use
265,Hungary,React.js,122,want to use
266,Nigeria,Django,122,want to use
267,Brazil,Deno,122,want to use
268,Spain,ASP.NET Core,122,want to use
269,Indonesia,Laravel,121,want to use
270,Sweden,Next.js,121,want to use
271,Turkey,Django,121,want to use
272,Brazil,ASP.NET,120,want to use
273,Belgium,Vue.js,119,want to use
274,"Iran, Islamic Republic of...",Next.js,119,want to use
275,Turkey,Angular,119,want to use
276,Spain,Flask,118,want to use
277,Netherlands,Blazor,118,want to use
278,Kenya,React.js,117,want to use
279,Denmark,ASP.NET Core,117,want to use
280,Israel,Express,116,want to use
281,Canada,ASP.NET,116,want to use
282,Russian Federation,Next.js,116,want to use
283,Italy,Flask,115,want to use
284,Viet Nam,React.js,114,want to use
285,Netherlands,Django,114,want to use
286,Denmark,Node.js,113,want to use
287,Argentina,Next.js,112,want to use
288,Pakistan,Laravel,112,want to use
289,Germany,Angular.js,112,want to use
290,Argentina,Express,111,want to use
291,Australia,Angular,111,want to use
292,Pakistan,jQuery,110,want to use
293,Bulgaria,Node.js,110,want to use
294,Spain,FastAPI,109,want to use
295,Austria,ASP.NET Core,109,want to use
296,France,Laravel,109,want to use
297,Netherlands,Laravel,109,want to use
298,Romania,Vue.js,108,want to use
299,Australia,Blazor,108,want to use
300,Mexico,Next.js,108,want to use
301,Bangladesh,Angular,107,want to use
302,Indonesia,Express,107,want to use
303,Australia,jQuery,106,want to use
304,Viet Nam,Node.js,106,want to use
305,Germany,Phoenix,105,want to use
306,Czech Republic,Vue.js,105,want to use
307,Greece,Vue.js,105,want to use
308,Argentina,Vue.js,105,want to use
309,South Africa,ASP.NET Core,105,want to use
310,Norway,Node.js,104,want to use
311,Morocco,React.js,104,want to use
312,Mexico,Express,103,want to use
313,Russian Federation,FastAPI,103,want to use
314,Poland,FastAPI,103,want to use
315,United Kingdom of Great Britain and Northern Ireland,Angular.js,103,want to use
316,Sweden,Express,101,want to use
317,United Kingdom of Great Britain and Northern Ireland,Gatsby,101,want to use
318,New Zealand,Node.js,100,want to use
319,Kenya,Node.js,100,want to use
320,Israel,Vue.js,100,want to use
321,Germany,Fastify,99,want to use
322,Philippines,Vue.js,98,want to use
323,Brazil,Nuxt.js,98,want to use
324,Ireland,React.js,97,want to use
325,Pakistan,ASP.NET Core,97,want to use
326,Mexico,Django,97,want to use
327,Switzerland,Next.js,97,want to use
328,Netherlands,Flask,97,want to use
329,Russian Federation,Svelte,97,want to use
330,Bangladesh,jQuery,97,want to use
331,Japan,React.js,96,want to use
332,Poland,Blazor,96,want to use
333,Czech Republic,ASP.NET Core,95,want to use
334,Mexico,Angular,94,want to use
335,Israel,Next.js,94,want to use
336,Turkey,Svelte,94,want to use
337,Brazil,Blazor,94,want to use
338,Italy,Laravel,94,want to use
339,Poland,Flask,94,want to use
340,Romania,Next.js,94,want to use
341,Philippines,Next.js,94,want to use
342,"Iran, Islamic Republic of...",jQuery,92,want to use
343,Netherlands,ASP.NET,92,want to use
344,India,Phoenix,92,want to use
345,Bangladesh,Nuxt.js,91,want to use
346,Turkey,ASP.NET,91,want to use
347,Belgium,Angular,91,want to use
348,Russian Federation,Express,91,want to use
349,Netherlands,FastAPI,91,want to use
350,Canada,Nuxt.js,90,want to use
351,Ireland,Node.js,90,want to use
352,Mexico,ASP.NET Core,90,want to use
353,Romania,Angular,90,want to use
354,Belgium,ASP.NET Core,90,want to use
355,Australia,Django,90,want to use
356,Indonesia,jQuery,89,want to use
357,Bangladesh,Svelte,89,want to use
358,Italy,FastAPI,89,want to use
359,Colombia,Next.js,89,want to use
360,Japan,Node.js,89,want to use
361,Russian Federation,Flask,88,want to use
362,Romania,ASP.NET Core,88,want to use
363,South Africa,Vue.js,88,want to use
364,South Korea,React.js,88,want to use
365,Austria,Express,88,want to use
366,Austria,Next.js,87,want to use
367,Denmark,Vue.js,87,want to use
368,Morocco,Node.js,87,want to use
369,Turkey,Flask,86,want to use
370,"Iran, Islamic Republic of...",Laravel,86,want to use
371,Sri Lanka,Next.js,86,want to use
372,New Zealand,ASP.NET Core,86,want to use
373,Netherlands,Nuxt.js,85,want to use
374,Italy,Deno,85,want to use
375,United Kingdom of Great Britain and Northern Ireland,Phoenix,85,want to use
376,Bangladesh,FastAPI,84,want to use
377,Norway,ASP.NET Core,84,want to use
378,Italy,Blazor,84,want to use
379,Serbia,Node.js,84,want to use
380,"Iran, Islamic Republic of...",Angular,84,want to use
381,France,Ruby on Rails,84,want to use
382,Spain,Laravel,84,want to use
383,Canada,Phoenix,83,want to use
384,Sri Lanka,Express,83,want to use
385,Sri Lanka,Vue.js,83,want to use
386,Nepal,React.js,83,want to use
387,Egypt,Express,83,want to use
388,Portugal,Vue.js,83,want to use
389,Switzerland,Svelte,83,want to use
390,Sri Lanka,Angular,81,want to use
391,Italy,Angular.js,81,want to use
392,Spain,Nuxt.js,81,want to use
393,Chile,Node.js,80,want to use
394,Colombia,Vue.js,80,want to use
395,Ukraine,Vue.js,80,want to use
396,Kenya,Django,80,want to use
397,Slovenia,Node.js,80,want to use
398,Pakistan,Angular.js,80,want to use
399,Taiwan,Node.js,80,want to use
400,Poland,ASP.NET,79,want to use
401,Chile,React.js,78,want to use
402,Australia,ASP.NET,78,want to use
403,Bulgaria,ASP.NET Core,78,want to use
404,Russian Federation,Angular,78,want to use
405,Austria,Svelte,78,want to use
406,Poland,jQuery,77,want to use
407,Argentina,Angular,77,want to use
408,Greece,Next.js,77,want to use
409,Bangladesh,ASP.NET Core,77,want to use
410,Finland,Next.js,77,want to use
411,Pakistan,Nuxt.js,77,want to use
412,Australia,Flask,77,want to use
413,Russian Federation,jQuery,77,want to use
414,Finland,Vue.js,77,want to use
415,South Korea,Node.js,76,want to use
416,Singapore,Node.js,76,want to use
417,Italy,ASP.NET,76,want to use
418,Poland,Deno,76,want to use
419,Canada,Laravel,76,want to use
420,Spain,Deno,76,want to use
421,Portugal,Next.js,75,want to use
422,Australia,Deno,75,want to use
423,Pakistan,Flask,75,want to use
424,Sweden,Blazor,75,want to use
425,Brazil,Angular.js,75,want to use
426,Greece,Angular,75,want to use
427,Greece,ASP.NET Core,75,want to use
428,Hong Kong (S.A.R.),React.js,75,want to use
429,Indonesia,Nuxt.js,75,want to use
430,Switzerland,Express,75,want to use
431,Israel,Angular,74,want to use
432,Taiwan,React.js,74,want to use
433,Nepal,Node.js,74,want to use
434,Nigeria,Flask,74,want to use
435,Egypt,Vue.js,74,want to use
436,Romania,Express,74,want to use
437,Slovenia,React.js,74,want to use
438,Singapore,React.js,74,want to use
439,Norway,Vue.js,73,want to use
440,Serbia,React.js,73,want to use
441,Hungary,Angular,73,want to use
442,Hong Kong (S.A.R.),Node.js,73,want to use
443,South Africa,Angular,73,want to use
444,Turkey,FastAPI,73,want to use
445,Bulgaria,Angular,73,want to use
446,Egypt,Next.js,73,want to use
447,Morocco,Next.js,72,want to use
448,France,ASP.NET,72,want to use
449,Bangladesh,Flask,72,want to use
450,Czech Republic,Next.js,72,want to use
451,Sweden,Angular,72,want to use
452,Ukraine,Next.js,72,want to use
453,Thailand,Node.js,72,want to use
454,Czech Republic,Svelte,71,want to use
455,Argentina,Django,71,want to use
456,Indonesia,Svelte,71,want to use
457,Colombia,Express,71,want to use
458,France,Angular.js,71,want to use
459,Turkey,Nuxt.js,71,want to use
460,Germany,Gatsby,71,want to use
461,Belgium,Next.js,71,want to use
462,Netherlands,Deno,70,want to use
463,Hungary,Vue.js,70,want to use
464,Portugal,Express,70,want to use
465,Pakistan,ASP.NET,69,want to use
466,Nigeria,Angular,69,want to use
467,Finland,Express,69,want to use
468,Canada,Angular.js,68,want to use
469,Lithuania,React.js,68,want to use
470,Viet Nam,Next.js,68,want to use
471,Nigeria,jQuery,68,want to use
472,Greece,Django,68,want to use
473,Malaysia,Node.js,68,want to use
474,South Africa,ASP.NET,68,want to use
475,Nigeria,FastAPI,68,want to use
476,Israel,FastAPI,68,want to use
477,Switzerland,Django,68,want to use
478,Thailand,React.js,67,want to use
479,Malaysia,React.js,67,want to use
480,Turkey,Laravel,67,want to use
481,United Kingdom of Great Britain and Northern Ireland,Symfony,67,want to use
482,Slovenia,Vue.js,67,want to use
483,Belgium,Express,67,want to use
484,United States of America,Play Framework,67,want to use
485,Slovakia,React.js,66,want to use
486,France,Blazor,66,want to use
487,Israel,ASP.NET Core,66,want to use
488,Taiwan,Vue.js,66,want to use
489,Peru,React.js,66,want to use
490,Philippines,Express,65,want to use
491,Italy,Nuxt.js,65,want to use
492,Indonesia,Django,65,want to use
493,Hungary,ASP.NET Core,65,want to use
494,Egypt,Django,64,want to use
495,Austria,jQuery,64,want to use
496,Egypt,Angular,64,want to use
497,Sweden,Deno,64,want to use
498,Kenya,Vue.js,64,want to use
499,Australia,Nuxt.js,64,want to use
500,"Iran, Islamic Republic of...",Nuxt.js,64,want to use
501,Switzerland,Flask,64,want to use
502,"Iran, Islamic Republic of...",FastAPI,64,want to use
503,Colombia,Angular,64,want to use
504,Israel,Flask,64,want to use
505,China,Next.js,64,want to use
506,Netherlands,Ruby on Rails,64,want to use
507,Portugal,Angular,63,want to use
508,Poland,Nuxt.js,63,want to use
509,Slovakia,Node.js,62,want to use
510,Poland,Phoenix,62,want to use
511,Morocco,Vue.js,62,want to use
512,Mexico,Svelte,62,want to use
513,Norway,Svelte,62,want to use
514,Portugal,ASP.NET Core,62,want to use
515,Turkey,Blazor,62,want to use
516,Hungary,Express,62,want to use
517,Spain,ASP.NET,62,want to use
518,Nigeria,Laravel,62,want to use
519,Pakistan,Svelte,62,want to use
520,Spain,Ruby on Rails,62,want to use
521,Greece,Express,61,want to use
522,Pakistan,Ruby on Rails,61,want to use
523,India,Symfony,61,want to use
524,Sri Lanka,jQuery,61,want to use
525,Mexico,Flask,61,want to use
526,Canada,Gatsby,60,want to use
527,Ukraine,Angular,60,want to use
528,United Arab Emirates,React.js,60,want to use
529,Egypt,ASP.NET Core,60,want to use
530,Switzerland,Blazor,59,want to use
531,Hungary,Next.js,59,want to use
532,South Africa,jQuery,59,want to use
533,Romania,Svelte,59,want to use
534,Poland,Ruby on Rails,59,want to use
535,Philippines,Angular,59,want to use
536,Kenya,Next.js,59,want to use
537,Peru,Node.js,59,want to use
538,Argentina,ASP.NET Core,59,want to use
539,Philippines,Svelte,58,want to use
540,Brazil,Fastify,58,want to use
541,Sri Lanka,Django,58,want to use
542,Nepal,Next.js,58,want to use
543,Pakistan,FastAPI,58,want to use
544,Bulgaria,Next.js,58,want to use
545,Czech Republic,Express,58,want to use
546,Viet Nam,Vue.js,58,want to use
547,Denmark,Blazor,58,want to use
548,Belgium,Svelte,58,want to use
549,Bulgaria,Vue.js,58,want to use
550,Denmark,Angular,58,want to use
551,India,Drupal,58,want to use
552,Czech Republic,Angular,57,want to use
553,"Venezuela, Bolivarian Republic of...",React.js,57,want to use
554,Ukraine,ASP.NET Core,57,want to use
555,Bulgaria,Express,57,want to use
556,Viet Nam,Express,57,want to use
557,Argentina,Svelte,57,want to use
558,Turkey,Angular.js,57,want to use
559,Greece,jQuery,56,want to use
560,"Iran, Islamic Republic of...",Blazor,56,want to use
561,Nepal,Vue.js,55,want to use
562,"Iran, Islamic Republic of...",ASP.NET,55,want to use
563,South Korea,Next.js,55,want to use
564,Morocco,Express,55,want to use
565,Switzerland,jQuery,55,want to use
566,Portugal,Svelte,55,want to use
567,United Kingdom of Great Britain and Northern Ireland,Fastify,55,want to use
568,Ukraine,Express,54,want to use
569,Norway,Next.js,54,want to use
570,Switzerland,Nuxt.js,54,want to use
571,Mexico,ASP.NET,54,want to use
572,Finland,Svelte,54,want to use
573,Spain,Symfony,54,want to use
574,Russian Federation,Blazor,54,want to use
575,Bangladesh,Angular.js,54,want to use
576,Italy,Ruby on Rails,54,want to use
577,South Africa,Blazor,53,want to use
578,Nepal,Django,53,want to use
579,Colombia,Django,53,want to use
580,Nigeria,Svelte,53,want to use
581,Israel,Svelte,53,want to use
582,Austria,Blazor,53,want to use
583,New Zealand,Vue.js,53,want to use
584,Portugal,Django,53,want to use
585,Sweden,ASP.NET,53,want to use
586,Poland,Symfony,53,want to use
587,France,Phoenix,52,want to use
588,Egypt,Laravel,52,want to use
589,Nigeria,Nuxt.js,52,want to use
590,Italy,Fastify,52,want to use
591,New Zealand,Next.js,52,want to use
592,Egypt,jQuery,52,want to use
593,Poland,Laravel,52,want to use
594,France,Fastify,52,want to use
595,Mexico,jQuery,52,want to use
596,Malaysia,Vue.js,52,want to use
597,"Iran, Islamic Republic of...",Flask,51,want to use
598,Australia,Ruby on Rails,51,want to use
599,Kenya,Express,51,want to use
600,Serbia,Vue.js,51,want to use
601,Belgium,Flask,51,want to use
602,South Africa,Django,51,want to use
603,Austria,Flask,51,want to use
604,United Arab Emirates,Node.js,50,want to use
605,"Venezuela, Bolivarian Republic of...",Node.js,50,want to use
606,Mexico,Laravel,50,want to use
607,Japan,Vue.js,50,want to use
608,Lithuania,Node.js,50,want to use
609,Russian Federation,ASP.NET,50,want to use
610,Viet Nam,ASP.NET Core,50,want to use
611,Israel,Django,50,want to use
612,Mexico,FastAPI,50,want to use
613,Turkey,Deno,50,want to use
614,South Africa,Next.js,50,want to use
615,Belgium,Blazor,49,want to use
616,Australia,FastAPI,49,want to use
617,Spain,Angular.js,49,want to use
618,South Africa,Express,49,want to use
619,Ireland,Vue.js,49,want to use
620,Sweden,Flask,49,want to use
621,Thailand,Vue.js,49,want to use
622,Ukraine,Django,49,want to use
623,Thailand,Next.js,48,want to use
624,Belgium,jQuery,48,want to use
625,Japan,Next.js,48,want to use
626,Bangladesh,ASP.NET,48,want to use
627,Netherlands,Symfony,48,want to use
628,Romania,jQuery,48,want to use
629,Serbia,Angular,47,want to use
630,Spain,Phoenix,47,want to use
631,Chile,Next.js,47,want to use
632,Greece,Flask,47,want to use
633,Indonesia,Flask,47,want to use
634,Denmark,Svelte,47,want to use
635,Philippines,Laravel,47,want to use
636,Denmark,Next.js,47,want to use
637,China,Django,47,want to use
638,Tunisia,Node.js,47,want to use
639,Philippines,Nuxt.js,47,want to use
640,Mexico,Ruby on Rails,47,want to use
641,Sweden,Django,47,want to use
642,Sweden,Nuxt.js,47,want to use
643,Canada,Symfony,46,want to use
644,Russian Federation,Nuxt.js,46,want to use
645,Philippines,Django,46,want to use
646,Czech Republic,jQuery,46,want to use
647,India,Play Framework,46,want to use
648,South Korea,Vue.js,46,want to use
649,Greece,Svelte,46,want to use
650,Singapore,Next.js,45,want to use
651,Switzerland,Deno,45,want to use
652,Nigeria,Angular.js,45,want to use
653,Austria,Nuxt.js,45,want to use
654,Chile,Express,45,want to use
655,Serbia,Express,45,want to use
656,Greece,ASP.NET,45,want to use
657,Australia,Laravel,45,want to use
658,Lithuania,ASP.NET Core,44,want to use
659,Slovakia,Vue.js,44,want to use
660,China,Deno,44,want to use
661,"Iran, Islamic Republic of...",Svelte,44,want to use
662,Morocco,Django,44,want to use
663,Croatia,Node.js,44,want to use
664,Russian Federation,Deno,44,want to use
665,Croatia,React.js,43,want to use
666,Tunisia,React.js,43,want to use
667,Nepal,Express,43,want to use
668,Colombia,Svelte,43,want to use
669,Chile,Vue.js,43,want to use
670,Slovenia,Angular,43,want to use
671,Finland,Django,42,want to use
672,Sri Lanka,Laravel,42,want to use
673,Dominican Republic,React.js,42,want to use
674,Switzerland,ASP.NET,42,want to use
675,Indonesia,Deno,42,want to use
676,Taiwan,Next.js,42,want to use
677,Czech Republic,Flask,42,want to use
678,New Zealand,Express,42,want to use
679,Estonia,React.js,42,want to use
680,Netherlands,Angular.js,42,want to use
681,Denmark,ASP.NET,42,want to use
682,Pakistan,Blazor,42,want to use
683,Kenya,Angular,42,want to use
684,Peru,Next.js,42,want to use
685,China,Flask,42,want to use
686,Austria,Laravel,41,want to use
687,Pakistan,Deno,41,want to use
688,Kenya,jQuery,41,want to use
689,Ireland,ASP.NET Core,41,want to use
690,Serbia,ASP.NET Core,41,want to use
691,Canada,Fastify,41,want to use
692,Austria,Django,41,want to use
693,Spain,Blazor,41,want to use
694,Malaysia,Express,41,want to use
695,Finland,Flask,41,want to use
696,Belgium,Django,41,want to use
697,China,jQuery,41,want to use
698,Switzerland,Ruby on Rails,40,want to use
699,Bulgaria,Blazor,40,want to use
700,Ghana,Node.js,40,want to use
701,Sweden,FastAPI,40,want to use
702,South Korea,Svelte,40,want to use
703,Nigeria,ASP.NET Core,40,want to use
704,Morocco,Laravel,40,want to use
705,Italy,Symfony,40,want to use
706,Australia,Phoenix,40,want to use
707,Lithuania,Vue.js,40,want to use
708,Hong Kong (S.A.R.),Next.js,40,want to use
709,Taiwan,Express,40,want to use
710,Morocco,Angular,40,want to use
711,Czech Republic,Blazor,39,want to use
712,Indonesia,FastAPI,39,want to use
713,Sri Lanka,ASP.NET Core,39,want to use
714,Malaysia,ASP.NET Core,39,want to use
715,Indonesia,ASP.NET Core,39,want to use
716,Slovenia,Express,39,want to use
717,Argentina,Deno,39,want to use
718,New Zealand,Svelte,39,want to use
719,Kenya,Flask,39,want to use
720,Kenya,Laravel,39,want to use
721,Slovenia,ASP.NET Core,39,want to use
722,Bulgaria,Svelte,39,want to use
723,Portugal,jQuery,39,want to use
724,China,ASP.NET Core,39,want to use
725,Colombia,ASP.NET Core,39,want to use
726,Romania,Django,38,want to use
727,Peru,Vue.js,38,want to use
728,"Iran, Islamic Republic of...",Deno,38,want to use
729,Viet Nam,Angular,38,want to use
730,Uruguay,React.js,38,want to use
731,Argentina,jQuery,38,want to use
732,Egypt,Flask,38,want to use
733,Bangladesh,Deno,38,want to use
734,Netherlands,Phoenix,38,want to use
735,Norway,Blazor,38,want to use
736,Ireland,Angular,38,want to use
737,Ghana,React.js,38,want to use
738,Indonesia,Angular,37,want to use
739,Czech Republic,Django,37,want to use
740,Finland,FastAPI,37,want to use
741,Denmark,Express,37,want to use
742,Malaysia,Next.js,37,want to use
743,Philippines,ASP.NET Core,37,want to use
744,Dominican Republic,Node.js,37,want to use
745,Hong Kong (S.A.R.),Vue.js,37,want to use
746,United Arab Emirates,Vue.js,37,want to use
747,Viet Nam,jQuery,37,want to use
748,"Venezuela, Bolivarian Republic of...",Vue.js,36,want to use
749,Turkey,Ruby on Rails,36,want to use
750,New Zealand,Angular,36,want to use
751,Bulgaria,Django,36,want to use
752,Argentina,Laravel,36,want to use
753,South Africa,Svelte,36,want to use
754,Philippines,jQuery,36,want to use
755,Israel,ASP.NET,36,want to use
756,Greece,Laravel,36,want to use
757,Russian Federation,Laravel,36,want to use
758,Ukraine,Svelte,36,want to use
759,Serbia,Next.js,36,want to use
760,Singapore,Vue.js,36,want to use
761,Greece,FastAPI,36,want to use
762,Brazil,Symfony,36,want to use
763,Mexico,Deno,35,want to use
764,Belgium,Laravel,35,want to use
765,Brazil,Gatsby,35,want to use
766,Sri Lanka,Flask,35,want to use
767,New Zealand,Blazor,35,want to use
768,Colombia,Flask,35,want to use
769,Colombia,FastAPI,35,want to use
770,Romania,Flask,35,want to use
771,Sri Lanka,Nuxt.js,35,want to use
772,Japan,Svelte,35,want to use
773,Portugal,Deno,35,want to use
774,South Africa,Flask,35,want to use
775,Mexico,Blazor,35,want to use
776,Argentina,FastAPI,35,want to use
777,Singapore,Express,35,want to use
778,Ireland,Express,35,want to use
779,Bosnia and Herzegovina,Node.js,35,want to use
780,Switzerland,FastAPI,34,want to use
781,China,Express,34,want to use
782,Czech Republic,FastAPI,34,want to use
783,Thailand,Express,34,want to use
784,Estonia,Node.js,34,want to use
785,Czech Republic,ASP.NET,34,want to use
786,Finland,ASP.NET Core,34,want to use
787,Czech Republic,Nuxt.js,34,want to use
788,Ukraine,jQuery,34,want to use
789,Israel,Deno,34,want to use
790,Portugal,ASP.NET,34,want to use
791,Ecuador,React.js,34,want to use
792,Israel,jQuery,34,want to use
793,Romania,Nuxt.js,34,want to use
794,Argentina,Flask,34,want to use
795,Ukraine,Flask,34,want to use
796,Philippines,Flask,34,want to use
797,Bosnia and Herzegovina,React.js,34,want to use
798,Pakistan,Gatsby,34,want to use
799,Ethiopia,Node.js,34,want to use
800,Georgia,React.js,33,want to use
801,Egypt,FastAPI,33,want to use
802,Egypt,Nuxt.js,33,want to use
803,Argentina,Ruby on Rails,33,want to use
804,Hungary,Svelte,33,want to use
805,Norway,Express,33,want to use
806,Spain,Fastify,33,want to use
807,Malaysia,Angular,33,want to use
808,Greece,Nuxt.js,33,want to use
809,Russian Federation,Ruby on Rails,33,want to use
810,Nigeria,ASP.NET,33,want to use
811,"Venezuela, Bolivarian Republic of...",Express,33,want to use
812,Bulgaria,ASP.NET,33,want to use
813,Uruguay,Node.js,33,want to use
814,Portugal,Phoenix,33,want to use
815,Colombia,Deno,33,want to use
816,Philippines,Angular.js,33,want to use
817,Indonesia,Ruby on Rails,32,want to use
818,Mexico,Angular.js,32,want to use
819,United Arab Emirates,Next.js,32,want to use
820,Nigeria,Ruby on Rails,32,want to use
821,Viet Nam,Django,32,want to use
822,Peru,Express,32,want to use
823,Saudi Arabia,Node.js,32,want to use
824,Austria,Deno,32,want to use
825,Romania,Laravel,32,want to use
826,Tunisia,Express,32,want to use
827,South Korea,Express,32,want to use
828,Croatia,ASP.NET Core,32,want to use
829,China,Angular,32,want to use
830,Morocco,Nuxt.js,31,want to use
831,Belgium,Nuxt.js,31,want to use
832,Sweden,Phoenix,31,want to use
833,Norway,Flask,31,want to use
834,Sweden,jQuery,31,want to use
835,Ecuador,Node.js,31,want to use
836,Ireland,Flask,31,want to use
837,Slovakia,Angular,31,want to use
838,Estonia,Vue.js,31,want to use
839,Hungary,Blazor,31,want to use
840,Costa Rica,React.js,31,want to use
841,Japan,Django,31,want to use
842,Poland,Gatsby,31,want to use
843,Ethiopia,React.js,31,want to use
844,Malaysia,Laravel,31,want to use
845,China,FastAPI,31,want to use
846,United Kingdom of Great Britain and Northern Ireland,Drupal,31,want to use
847,Norway,Django,31,want to use
848,Romania,Blazor,31,want to use
849,Slovenia,Next.js,31,want to use
850,Austria,ASP.NET,31,want to use
851,South Africa,Laravel,30,want to use
852,Argentina,ASP.NET,30,want to use
853,"Venezuela, Bolivarian Republic of...",Django,30,want to use
854,Hungary,Flask,30,want to use
855,Finland,Deno,30,want to use
856,Egypt,ASP.NET,30,want to use
857,"Venezuela, Bolivarian Republic of...",Next.js,30,want to use
858,Sri Lanka,FastAPI,30,want to use
859,Canada,Drupal,30,want to use
860,Romania,Deno,30,want to use
861,Latvia,React.js,30,want to use
862,Belgium,FastAPI,30,want to use
863,Kenya,FastAPI,30,want to use
864,Italy,Gatsby,30,want to use
865,Belarus,React.js,30,want to use
866,Chile,Angular,30,want to use
867,Thailand,Svelte,30,want to use
868,Portugal,Flask,30,want to use
869,Israel,Nuxt.js,30,want to use
870,Taiwan,jQuery,30,want to use
871,Poland,Fastify,30,want to use
872,Norway,Angular,29,want to use
873,Australia,Angular.js,29,want to use
874,Ireland,Next.js,29,want to use
875,United Arab Emirates,ASP.NET Core,29,want to use
876,Slovenia,Laravel,29,want to use
877,Bangladesh,Blazor,29,want to use
878,Sri Lanka,Angular.js,29,want to use
879,Portugal,FastAPI,29,want to use
880,Colombia,Laravel,29,want to use
881,New Zealand,ASP.NET,29,want to use
882,Croatia,Vue.js,29,want to use
883,Austria,FastAPI,29,want to use
884,Romania,ASP.NET,29,want to use
885,Saudi Arabia,React.js,29,want to use
886,Australia,Gatsby,29,want to use
887,Indonesia,Angular.js,29,want to use
888,Nepal,Svelte,28,want to use
889,Ukraine,Ruby on Rails,28,want to use
890,Greece,Ruby on Rails,28,want to use
891,Taiwan,Angular,28,want to use
892,"Iran, Islamic Republic of...",Angular.js,28,want to use
893,Hong Kong (S.A.R.),Express,28,want to use
894,Singapore,Flask,28,want to use
895,Serbia,jQuery,28,want to use
896,Viet Nam,Nuxt.js,28,want to use
